id_pelanggan,download_speed,upload_speed,latency,packet_loss,skor_keluhan,label_kelas
SBG@ARIL,8.93,3.58,25,0.88,3.51,Baik
SBG@DONGKI,8.7,3.83,24,1.39,4.14,Baik
SBG@ELIN,4.79,2.01,66,3.81,1.97,Baik
SBG@RECI,8.16,3.92,20,1.34,4.1,Sangat Baik
SBG@MELA,8.01,3.95,17,0.52,4.42,Sangat Baik
SBG@NINO,8.39,3.78,20,1.08,3.83,Baik
SBG@SELA,8.01,3.87,25,0.79,4.18,Baik
SBG@TIO,9.29,4.11,5,0.39,3.63,Sangat Baik
SBG@ADIT2,8.53,3.7,23,0.56,4.45,Baik
SBG@FADIL,8.61,3.57,23,0.75,3.86,Baik
SBG@ROMI,8.52,3.75,17,0.58,3.96,Baik
SBG@PELA,8.29,3.63,21,1.36,4.28,Baik
SBG@PIKA,8.9,3.59,21,1.4,3.77,Sangat Baik
SBG@PILMA,8.94,3.53,20,1.22,4.28,Baik
SBG@POPI,2.2,3.23,7,0.88,2.54,Sedang
SBG@PURI2,8.94,3.88,22,0.87,3.61,Baik
SBG@RAPIL,8.61,3.73,24,0.98,3.78,Baik
SBG@REZA,3.65,1.14,48,4.21,1.23,Baik
SBG@REZA2,8.9,3.52,19,0.99,4.34,Baik
SBG@RIKAL,8.72,3.88,19,0.59,3.72,Baik
SBG@SAGIA,9.4,4.22,8,0.12,3.7,Sedang
SBG@RUGANDI,2.89,1.27,39,0.35,2.6,Baik
SBG@SISKA,9.26,4.24,7,0.16,4.73,Baik
SBG@YOKE,6.26,2.97,28,2.63,2.9,Baik
SBG@BRK01,1.25,0.5,132,7.2,1.25,Buruk
SBG@BRK02,1.5,0.7,144,8.4,1.5,Buruk
SBG@BRK03,1.75,0.9,156,9.6,1.75,Buruk
SBG@BRK04,2.0,1.1,168,10.8,2.0,Buruk
SBG@BRK05,2.25,0.3,180,12.0,1.0,Buruk
SBG@BRK06,2.5,0.5,192,13.2,1.25,Buruk
SBG@BRK07,2.75,0.7,204,6.0,1.5,Buruk
SBG@BRK08,3.0,0.9,216,7.2,1.75,Buruk
SBG@BRK09,3.25,1.1,228,8.4,2.0,Buruk
SBG@BRK10,1.0,0.3,120,9.6,1.0,Buruk
SBG@BRK11,1.25,0.5,132,10.8,1.25,Buruk
SBG@BRK12,1.5,0.7,144,12.0,1.5,Buruk
SBG@BRK13,1.75,0.9,156,13.2,1.75,Buruk
SBG@BRK14,2.0,1.1,168,6.0,2.0,Buruk
SBG@BRK15,2.25,0.3,180,7.2,1.0,Buruk
SBG@BRK16,2.5,0.5,192,8.4,1.25,Buruk
SBG@BRK17,2.75,0.7,204,9.6,1.5,Buruk
SBG@BRK18,3.0,0.9,216,10.8,1.75,Buruk
SBG@BRK19,3.25,1.1,228,12.0,2.0,Buruk
SBG@BRK20,1.0,0.3,120,13.2,1.0,Buruk
